n,factorization,num_factors,n_mod6,wing,num_left_factors
241242001,7*11*13*401*601,5,1,right,2
242641153,17*19*37*79*257,5,1,right,2
246446929,19*109*127*937,4,1,right,0
247095361,19*37*271*1297,4,1,right,0
250200721,19*31*421*1009,4,1,right,0
252141121,43*61*97*991,4,1,right,0
255160621,37*61*131*863,4,1,right,2
256828321,29*113*181*433,4,1,right,2
257495641,13*31*367*1741,4,1,right,0
258634741,131*491*4021,3,1,right,2
266003101,7*13*37*199*397,5,1,right,0
270857521,11*19*41*73*433,5,1,right,2
271481329,7*19*277*7369,4,1,right,0
271794601,13*19*743*1481,4,1,right,2
273769921,17*181*193*461,4,1,right,2
274569601,17*61*149*1777,4,1,right,2
275283401,71*701*5531,3,5,left,3
277241401,31*61*271*541,4,1,right,0
278152381,13*19*727*1549,4,1,right,0
279377281,131*911*2341,3,1,right,2
280067761,29*41*109*2161,4,1,right,2
280761481,7*11*13*41*6841,5,1,right,2
288120421,307*613*1531,3,1,right,0
289766701,7*19*181*12037,4,1,right,0
289860481,29*113*197*449,4,1,right,4
291848401,13*17*541*2441,4,1,right,2
292244833,19*37*199*2089,4,1,right,0
292776121,11*31*41*43*487,5,1,right,2
295643089,7*157*367*733,4,1,right,0
295826581,37*163*181*271,4,1,right,0
296559361,7*31*73*97*193,5,1,right,0
299736181,181*541*3061,3,1,right,0
300614161,31*43*61*3697,4,1,right,0
301704985,5*43*47*73*409,5,1,right,2
302751505,5*7*103*137*613,5,1,right,2
306871201,7*13*31*181*601,5,1,right,0
311388337,13*17*37*113*337,5,1,right,2
318266641,7*11*41*73*1381,5,1,right,2
321197185,5*19*23*29*37*137,6,1,right,4
321602401,31*41*401*631,4,1,right,2
325546585,5*7*13*359*1993,5,1,right,2
328573477,199*397*4159,3,1,right,0
329769721,61*421*12841,3,1,right,0
333065305,5*37*83*109*199,5,1,right,2
333229141,7*37*739*1741,4,1,right,0
334783585,5*37*47*139*277,5,1,right,2
338740417,19*59*449*673,4,1,right,2
346808881,19*23*37*89*241,5,1,right,2
348612265,5*23*859*3529,4,1,right,2
354938221,11*19*29*157*373,5,1,right,2
357277921,7*11*13*241*1481,5,1,right,2
357380101,13*19*631*2293,4,1,right,0
358940737,17*23*37*43*577,5,1,right,2
360067201,13*31*61*97*151,5,1,right,0
362569201,113*337*9521,3,1,right,2
364590721,11*17*31*109*577,5,1,right,2
366532321,241*337*4513,3,1,right,0
366652201,461*691*1151,3,1,right,2
367804801,7*13*31*241*541,5,1,right,0
367939585,5*13*17*433*769,5,1,right,2
368113411,43*631*13567,3,1,right,0
382304161,239*409*3911,3,1,right,2
382536001,31*71*151*1151,4,1,right,2
390489121,11*19*61*109*281,5,1,right,2
392099401,29*139*211*461,4,1,right,2
393122521,11*19*29*37*1753,5,1,right,2
393513121,41*113*157*541,4,1,right,2
393716701,7*53*131*8101,4,1,right,2
395044651,199*859*2311,3,1,right,0
